player,position,team,shirt_number,dob,age,height,strong_foot,date_joined,date_contract,market_value
Óscar Valentín,Central Midfield,Rayo Vallecano,23,"Aug 20, 1994",28,1.77m,right,"Jul 1, 2019","Jun 30, 2025",€3.00m
Randy Nteka,Attacking Midfield,Rayo Vallecano,11,"Dec 6, 1997",24,1.89m,left,"Jul 28, 2021","Jun 30, 2026",€4.00m
Óscar Trejo,Attacking Midfield,Rayo Vallecano,8,"Apr 26, 1988",34,1.80m,right,"Jul 1, 2017","Jun 30, 2024",€3.00m
José Pozo,Attacking Midfield,Rayo Vallecano,22,"Mar 15, 1996",26,1.71m,left,"Jul 27, 2018","Jun 30, 2024",€1.20m
Álvaro García,Left Winger,Rayo Vallecano,18,"Oct 27, 1992",30,1.67m,both,"Aug 23, 2018","Jun 30, 2026",€6.00m
Bebé,Left Winger,Rayo Vallecano,10,"Jul 12, 1990",32,1.90m,right,"Aug 31, 2018","Jun 30, 2025",€800k
Isi Palazón,Right Winger,Rayo Vallecano,7,"Dec 27, 1994",27,1.69m,left,"Jan 23, 2020","Jun 30, 2025",€5.00m
Salvi Sánchez,Right Winger,Rayo Vallecano,14,"Mar 30, 1991",31,1.70m,right,"Jul 1, 2022","Jun 30, 2024",€2.00m
Raúl de Tomás,Centre-Forward,Rayo Vallecano,-,"Oct 17, 1994",28,1.80m,right,"Sep 13, 2022","Jun 30, 2027",€12.00m
Sergio Camello,Centre-Forward,Rayo Vallecano,34,"Feb 10, 2001",21,1.77m,right,"Aug 3, 2022","Jun 30, 2023",€4.00m
Radamel Falcao,Centre-Forward,Rayo Vallecano,9,"Feb 10, 1986",36,1.77m,right,"Sep 4, 2021","Jun 30, 2023",€2.00m
Andrés Martín,Centre-Forward,Rayo Vallecano,12,"Jul 11, 1999",23,1.78m,left,"Jul 1, 2019","Jun 30, 2024",€1.20m
Predrag Rajković,Goalkeeper,RCD Mallorca,1,"Oct 31, 1995",27,1.92m,right,"Jul 22, 2022","Jun 30, 2026",€9.00m
Dominik Greif,Goalkeeper,RCD Mallorca,13,"Apr 6, 1997",25,1.97m,right,"Jul 6, 2021","Jun 30, 2026",€2.00m
Leo Román,Goalkeeper,RCD Mallorca,31,"Jul 6, 2000",22,1.89m,right,"Jul 1, 2022","Jun 30, 2026",€300k
Martin Valjent,Centre-Back,RCD Mallorca,24,"Dec 11, 1995",26,1.87m,right,"Jul 1, 2019","Jun 30, 2025",€4.00m
Antonio Raíllo,Centre-Back,RCD Mallorca,21,"Oct 8, 1991",31,1.87m, ,"Jul 1, 2016","Jun 30, 2024",€2.00m
Matija Nastasić,Centre-Back,RCD Mallorca,2,"Mar 28, 1993",29,1.88m,left,"Sep 1, 2022","Jun 30, 2023",€1.50m
Franco Russo,Centre-Back,RCD Mallorca,5,"Oct 25, 1994",28,1.86m,right,"Jul 9, 2018","Jun 30, 2024",€1.20m
José Copete,Centre-Back,RCD Mallorca,6,"Oct 10, 1999",23,1.90m,left,"Jul 1, 2022","Jun 30, 2026",€1.20m
Braian Cufré,Left-Back,RCD Mallorca,3,"Dec 15, 1996",25,1.78m,left,"Sep 28, 2020","Jun 30, 2024",€1.20m
Jaume Costa,Left-Back,RCD Mallorca,18,"Mar 18, 1988",34,1.71m,left,"Jul 7, 2021","Jun 30, 2023",€1.20m
Pablo Maffeo,Right-Back,RCD Mallorca,15,"Jul 12, 1997",25,1.72m,right,"Jul 1, 2022","Jun 30, 2026",€5.00m
Giovanni González,Right-Back,RCD Mallorca,20,"Sep 20, 1994",28,1.78m,right,"Jan 29, 2022","Jun 30, 2024",€1.50m
Rodrigo Battaglia,Defensive Midfield,RCD Mallorca,16,"Jul 12, 1991",31,1.87m,right,"Jul 29, 2022","Jun 30, 2024",€1.80m
Iddrisu Baba,Central Midfield,RCD Mallorca,12,"Jan 22, 1996",26,1.82m,right,"Jul 1, 2018","Jun 30, 2024",€3.50m
Iñigo Ruiz de Galarreta,Central Midfield,RCD Mallorca,4,"Aug 6, 1993",29,1.75m,right,"Sep 1, 2019","Jun 30, 2023",€1.80m
Antonio Sánchez,Central Midfield,RCD Mallorca,10,"Apr 22, 1997",25,1.79m,right,"Jul 1, 2018","Jun 30, 2024",€1.50m
Clément Grenier,Central Midfield,RCD Mallorca,8,"Jan 7, 1991",31,1.86m,right,"Mar 3, 2022","Jun 30, 2024",€1.00m
Kang-in Lee,Attacking Midfield,RCD Mallorca,19,"Feb 19, 2001",21,1.73m,left,"Aug 30, 2021","Jun 30, 2025",€9.00m
Dani Rodríguez,Attacking Midfield,RCD Mallorca,14,"Jun 6, 1988",34,1.78m,right,"Jul 1, 2018","Jun 30, 2024",€1.20m
Amath Ndiaye,Left Winger,RCD Mallorca,23,"Jul 16, 1996",26,1.73m,right,"Jul 1, 2021","Jun 30, 2025",€2.00m
Lago Júnior,Left Winger,RCD Mallorca,11,"Dec 31, 1990",31,1.80m,right,"Jan 27, 2016","Jun 30, 2023",€1.20m
Vedat Muriqi,Centre-Forward,RCD Mallorca,7,"Apr 24, 1994",28,1.94m,left,"Jul 22, 2022","Jun 30, 2027",€9.00m
Tino Kadewere,Centre-Forward,RCD Mallorca,17,"Jan 5, 1996",26,1.83m,right,"Aug 29, 2022","Jun 30, 2023",€6.00m
Ángel Rodríguez,Centre-Forward,RCD Mallorca,22,"Apr 26, 1987",35,1.71m,right,"Jul 2, 2021","Jun 30, 2023",€2.00m
Abdón Prats,Centre-Forward,RCD Mallorca,9,"Dec 7, 1992",29,1.81m,left,"Jul 4, 2017","Jun 30, 2024",€1.50m
Sergio Asenjo,Goalkeeper,Real Valladolid CF,25,"Jun 28, 1989",33,1.89m,right,"Jul 7, 2022","Jun 30, 2024",€4.00m
Jordi Masip,Goalkeeper,Real Valladolid CF,1,"Jan 3, 1989",33,1.80m,right,"Jul 17, 2017","Jun 30, 2024",€700k
Joaquín Fernández,Centre-Back,Real Valladolid CF,24,"May 31, 1996",26,1.90m,right,"Aug 31, 2018","Jun 30, 2023",€2.80m
Zouhair Feddal,Centre-Back,Real Valladolid CF,3,"Dec 23, 1989",32,1.91m,left,"Aug 24, 2022","Jun 30, 2023",€2.50m
Javi Sánchez,Centre-Back,Real Valladolid CF,5,"Mar 14, 1997",25,1.89m,right,"Jul 1, 2020","Jun 30, 2026",€2.50m
Jawad El Yamiq,Centre-Back,Real Valladolid CF,15,"Feb 29, 1992",30,1.93m,right,"Sep 24, 2020","Jun 30, 2024",€1.20m
Lucas Olaza,Left-Back,Real Valladolid CF,12,"Jul 21, 1994",28,1.76m,left,"Jul 1, 2021","Jun 30, 2025",€2.50m
Sergio Escudero,Left-Back,Real Valladolid CF,18,"Sep 2, 1989",33,1.76m,left,"Jul 13, 2022","Jun 30, 2024",€1.80m
Luis Pérez,Right-Back,Real Valladolid CF,2,"Feb 4, 1995",27,1.73m,right,"Aug 4, 2020","Jun 30, 2025",€1.50m
Iván Fresneda,Right-Back,Real Valladolid CF,27,"Sep 28, 2004",18,1.82m,right,"Jul 1, 2022","Jun 30, 2025",€1.00m
Lucas Rosa,Right-Back,Real Valladolid CF,39,"Apr 3, 2000",22,1.77m,right,-,"Jun 30, 2025",€150k
Mickaël Malsa,Defensive Midfield,Real Valladolid CF,14,"Oct 12, 1996",26,1.79m,right,"Aug 12, 2022","Jun 30, 2026",€3.00m
Monchu,Central Midfield,Real Valladolid CF,8,"Sep 13, 1999",23,1.73m,right,"Jul 1, 2022","Jun 30, 2026",€3.00m
Kike Pérez,Central Midfield,Real Valladolid CF,4,"Feb 14, 1997",25,1.84m,left,"Aug 12, 2020","Jun 30, 2025",€2.50m
Álvaro Aguado,Central Midfield,Real Valladolid CF,6,"May 1, 1996",26,1.75m,right,"Jan 25, 2019","Jun 30, 2023",€2.50m
Roque Mesa,Central Midfield,Real Valladolid CF,17,"Jun 7, 1989",33,1.72m,right,"Oct 5, 2020","Jun 30, 2023",€2.50m
Anuar,Central Midfield,Real Valladolid CF,23,"Jan 15, 1995",27,1.73m,right,"Jul 1, 2017","Jun 30, 2023",€1.00m
Kenedy,Left Winger,Real Valladolid CF,19,"Feb 8, 1996",26,1.82m,left,"Sep 1, 2022","Jun 30, 2027",€7.00m
Gonzalo Plata,Right Winger,Real Valladolid CF,11,"Nov 1, 2000",22,1.78m,left,"Jul 11, 2022","Jun 30, 2027",€6.00m
Óscar Plano,Right Winger,Real Valladolid CF,10,"Feb 11, 1991",31,1.79m,both,"Jul 1, 2017","Jun 30, 2023",€2.50m
Iván Sánchez,Right Winger,Real Valladolid CF,21,"Sep 23, 1992",30,1.69m,left,"Jul 1, 2022","Jun 30, 2024",€800k
Shon Weissman,Centre-Forward,Real Valladolid CF,9,"Feb 14, 1996",26,1.74m,right,"Aug 31, 2020","Jun 30, 2024",€8.00m
Sergi Guardiola,Centre-Forward,Real Valladolid CF,16,"May 29, 1991",31,1.85m,left,"Jan 25, 2019","Jun 30, 2023",€3.00m
Juanjo Narváez,Centre-Forward,Real Valladolid CF,20,"Feb 12, 1995",27,1.81m,right,"Sep 1, 2022","Jun 30, 2025",€1.50m
Sergio León,Centre-Forward,Real Valladolid CF,7,"Jan 6, 1989",33,1.76m,right,"Aug 31, 2021","Jun 30, 2024",€1.20m
Jeremías Ledesma,Goalkeeper,Cádiz CF,1,"Feb 13, 1993",29,1.86m,right,"Jul 1, 2021","Jun 30, 2025",€6.00m
David Gil,Goalkeeper,Cádiz CF,13,"Jan 11, 1994",28,1.86m,right,"Jul 1, 2018","Jun 30, 2025",€800k
Fali,Centre-Back,Cádiz CF,3,"Aug 12, 1993",29,1.86m,right,"Jul 1, 2019","Jun 30, 2024",€2.50m
Víctor Chust,Centre-Back,Cádiz CF,32,"Mar 5, 2000",22,1.82m,both,"Jul 6, 2022","Jun 30, 2026",€2.50m
Juan Cala,Centre-Back,Cádiz CF,16,"Nov 26, 1989",32,1.86m,right,"Jul 17, 2019","Jun 30, 2024",€900k
Luis Hernández,Centre-Back,Cádiz CF,23,"Apr 14, 1989",33,1.82m,right,"Jan 31, 2022","Jun 30, 2025",€800k
Momo Mbaye,Centre-Back,Cádiz CF,5,"Jun 28, 1998",24,1.92m,left,"Aug 9, 2022","Jun 30, 2024",€400k
Alfonso Espino,Left-Back,Cádiz CF,22,"Jan 5, 1992",30,1.72m,left,"Jan 28, 2019","Jun 30, 2023",€5.00m
Santiago Arzamendia,Left-Back,Cádiz CF,21,"May 5, 1998",24,1.72m,left,"Jul 8, 2021","Jun 30, 2025",€1.80m
Joseba Zaldua,Right-Back,Cádiz CF,2,"Jun 24, 1992",30,1.74m,right,"Jul 11, 2022","Jun 30, 2025",€4.00m
Iza Carcelén,Right-Back,Cádiz CF,20,"Apr 23, 1993",29,1.70m,right,"Jul 1, 2019","Jun 30, 2023",€1.50m
Antonio Blanco,Defensive Midfield,Cádiz CF,36,"Jul 23, 2000",22,1.76m,right,"Aug 18, 2022","Jun 30, 2023",€5.00m
Tomás Alarcón,Defensive Midfield,Cádiz CF,12,"Jan 19, 1999",23,1.76m,right,"Jul 1, 2021","Jun 30, 2025",€3.00m
Jon Ander Garrido,Defensive Midfield,Cádiz CF,-,"Oct 9, 1989",33,1.85m,right,"Jul 21, 2014","Jun 30, 2023",€400k
José Mari,Defensive Midfield,Cádiz CF,6,"Dec 6, 1987",34,1.82m,right,"Aug 16, 2016","Jun 30, 2024",€400k
Rubén Alcaraz,Central Midfield,Cádiz CF,4,"May 1, 1991",31,1.80m,right,"Jul 1, 2022","Jun 30, 2024",€2.50m
Fede San Emeterio,Central Midfield,Cádiz CF,24,"Mar 16, 1997",25,1.76m,right,"Aug 7, 2022","Jun 30, 2026",€1.50m
Álex Fernández,Attacking Midfield,Cádiz CF,8,"Oct 15, 1992",30,1.83m,right,"Aug 7, 2017","Jun 30, 2025",€5.00m
Théo Bongonda,Left Winger,Cádiz CF,10,"Nov 20, 1995",26,1.77m,left,"Aug 26, 2022","Jun 30, 2026",€6.00m
Awer Mabil,Left Winger,Cádiz CF,17,"Sep 15, 1995",27,1.79m,right,"Jul 1, 2022","Jun 30, 2026",€1.80m
Brian Ocampo,Right Winger,Cádiz CF,14,"Jun 25, 1999",23,1.72m,right,"Aug 28, 2022","Jun 30, 2026",€2.00m
Iván Alejo,Right Winger,Cádiz CF,11,"Feb 10, 1995",27,1.86m,right,"Aug 4, 2020","Jun 30, 2025",€1.20m
Choco Lozano,Centre-Forward,Cádiz CF,9,"Apr 25, 1993",29,1.83m,right,"Aug 4, 2020","Jun 30, 2023",€3.00m
Lucas Pérez,Centre-Forward,Cádiz CF,15,"Sep 10, 1988",34,1.80m,left,"Jan 31, 2022","Jun 30, 2023",€2.50m
Rubén Sobrino,Centre-Forward,Cádiz CF,7,"Jun 1, 1992",30,1.85m,right,"Aug 30, 2021","Jun 30, 2024",€2.00m
Álvaro Negredo,Centre-Forward,Cádiz CF,18,"Aug 20, 1985",37,1.86m,left,"Aug 4, 2020","Jun 30, 2023",€1.50m
Álvaro Giménez,Centre-Forward,Cádiz CF,19,"May 19, 1991",31,1.83m,left,"Aug 4, 2020","Jun 30, 2023",€1.00m
